"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"242408_at",-0.265047427937915,2.52348904964539,-2.21648067269906,0.0282840336455761,0.0462139111247768,-4.98892827807321
"226027_at",-0.561294855875833,6.93733354609929,-2.21635969173601,0.0282925061618605,0.04622522624006,-4.98918816581407
"225382_at",0.754557937915742,5.88818212765957,2.21540528215743,0.0283594227316206,0.0463320227105114,-4.99123793704504
"205016_at",1.06205512195122,4.59427787234043,2.21521752684985,0.0283726030416435,0.0463510210359301,-4.99164107951401
"230047_at",0.542334767184035,3.36349113475177,2.21517188157655,0.0283758081184247,0.0463537220933833,-4.99173908284289
"202343_x_at",0.291821286031036,11.5045397163121,2.21451508838745,0.0284219611238137,0.0464265772447335,-4.99314905165554
"220155_s_at",-0.424557450110864,7.31501907801418,-2.21431151702721,0.0284362793929381,0.0464474260104565,-4.99358598879074
"1560926_at",0.641043325942349,8.23914680851064,2.21411104603575,0.0284503857342407,0.0464679263553292,-4.99401623485305
"201815_s_at",0.41296982261641,3.87186063829787,2.21398732520425,0.0284590945142369,0.04647960912054,-4.99428174344287
"200029_at",-0.47006186252772,14.5337113475177,-2.21385299446989,0.0284685527595861,0.0464925145739731,-4.99457000554937
"1553698_a_at",0.453445920177383,3.00748836879433,2.21354361333805,0.0284903467389543,0.0465255632281627,-4.99523384864693
"235771_at",-0.957831662971175,4.25552893617021,-2.21314862416213,0.0285181923849388,0.0465684902763353,-4.99608125641114
"242189_at",-0.298710864745011,3.84530858156028,-2.21312133253377,0.0285201172442416,0.0465690878621059,-4.99613980252771
"202536_at",0.381021973392464,9.80297581560284,2.21287872704675,0.0285372330107597,0.0465944885073473,-4.99666021127835
"213005_s_at",-0.852098647450109,8.3778775177305,-2.21277841425521,0.0285443126701936,0.0466010523653863,-4.99687537494524
"1555821_a_at",0.169470110864744,3.87194156028369,2.21277755878946,0.0285443730519813,0.0466010523653863,-4.99687720981817
"218951_s_at",0.546575365853657,7.4099980141844,2.2126927742718,0.0285503579938219,0.0466082760997563,-4.99705905931128
"202520_s_at",0.420763259423502,8.73104226950355,2.2125772588413,0.0285585139900441,0.0466190430833107,-4.99730681134468
"213045_at",-0.514140199556543,5.70145588652482,-2.21216620527321,0.028587552985159,0.0466638965261819,-4.99818832186154
"233090_at",1.23386361419069,5.7647490070922,2.21212819592661,0.0285902394640915,0.0466657318058576,-4.99826982576538
"223402_at",0.509044390243904,8.1936365248227,2.21127716695835,0.0286504472826208,0.0467614495806004,-5.00009435585245
"202224_at",0.327798181818183,8.8702114893617,2.21107839875419,0.0286645254429429,0.0467818710968659,-5.00052040289161
